star_name,ra,dec,ra_J2016,dec_J2016,tic_id,gaia_dr2_id,gaia_dr3_id,hip_name,tm_name,tyc_name,wds_designation,simbad_name,source_list_fl,sy_pmra,sy_pmraerr,sy_pmdec,sy_pmdecerr,sy_pmsrc,sy_pm_reflink,sy_ujmag,sy_ujmagerr,sy_ujmagsrc,sy_ujmag_reflink,sy_bmag,sy_bmagerr,sy_bmagsrc,sy_bmag_reflink,sy_vmag,sy_vmagerr,sy_vmagsrc,sy_vmag_reflink,sy_rcmag,sy_rcmagerr,sy_rcmagsrc,sy_rcmag_reflink,sy_icmag,sy_icmagerr,sy_icmagsrc,sy_icmag_reflink,sy_jmag,sy_jmagerr,sy_jmagsrc,sy_jmag_reflink,sy_hmag,sy_hmagerr,sy_hmagsrc,sy_hmag_reflink,sy_kmag,sy_kmagmerr,sy_kmagsrc,sy_kmag_reflink,sy_tmag,sy_tmagerr,sy_gaiamag,sy_gaiamagerr,sy_gaiamagsrc,sy_gaiamag_reflink,sy_bpmag,sy_bpmagerr,sy_rpmag,sy_rpmagerr,sy_plx,sy_plxerr,sy_plxsrc,sy_plx_reflink,sy_dist,sy_disterr,sy_distsrc,sy_dist_reflink,ambiguous_dist_fl,st_spectype,st_spectype_reflink,dwarf_fl,st_teff,st_tefferr,st_teffsrc,st_teff_reflink,st_logg,st_loggerr,st_loggsrc,st_logg_reflink,st_loggspec,st_loggspecerr,st_loggspecsrc,st_loggspec_reflink,st_met,st_meterr,st_metsrc,st_met_reflink,st_lum,st_lumerr,st_lumsrc,st_lum_reflink,st_rad,st_raderr,st_radsrc,st_rad_reflink,st_mass,st_masserr,st_masssrc,st_mass_reflink,uncertain_M_flag,st_age,st_ageerr,st_agesrc,st_age_reflink,contaminant_fl,brightest_sep,brightest_Gmag,brightest_id,nearest_sep,nearest_Gmag,nearest_id,known_binary_fl,gaia_binary_fl,wds_comp,wds_sep,wds_deltamag,GCNS_companion,GCNS_sep,GCNS_mag_diff,sy_planets_flag,hostname
TIC 459832522,"213,915338","19,182202",null,null,459832522,null,null,69673,2MASS J14153968+1910558,1472-01436-1,WDS J14157+1911A,* alf Boo,tic_near,-1093,8,-1999,8,TIC tic7,2019AJ....158..138S,"2,46",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"1,18",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-0,05",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-1,03",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-1,68",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-2,252","0,157",TIC,2019AJ....158..138S,"-2,81","9,996",TIC,2019AJ....158..138S,"-2,911","0,17",TIC,2019AJ....158..138S,"-1,254","0,167",null,null,null,null,null,null,null,null,"88,83","0,54",TIC hip,2019AJ....158..138S,"11,25745807","0,06843439554",TIC plx hip,2019AJ....158..138S,0,K1.5IIIFe-0.5,1989ApJS...71..245K,0,4295,9,Pastel,2022A&A...663A...4S,"1,605327863","0,01972740557",calculated_from_M_and_R,Calculated Value,"1,67","0,05",Pastel,2022A&A...663A...4S,"-0,55","0,01",Pastel,2022A&A...663A...4S,"2,283074975","0,004401786177",Stock2018,2018A&A...616A..33S,"25,01864564","0,1645265268",calc_from_L_and_Teff,Calculated Value,"0,92","0,04",Stock2018,2018A&A...616A..33S,0,"8,7096359","1,171490159",Stock2018,2018A&A...616A..33S,null,null,null,null,null,null,null,1,0,A,"0,3","3,33",null,null,null,0,null
TIC 245873777,"68,980213","16,509084",null,null,245873777,null,null,21421,2MASS J04355524+1630331,1266-01416-1,WDS J04359+1631A,* alf Tau,tic_near,63,8,-189,8,TIC tic7,2019AJ....158..138S,"4,32",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"2,4",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"0,86",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-0,37",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-1,31",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-2,095","0,194",TIC,2019AJ....158..138S,"-2,775","0,17",TIC,2019AJ....158..138S,"-3,044","0,14",TIC,2019AJ....158..138S,"-1,2","0,209",null,null,null,null,null,null,null,null,"48,94","0,77",TIC hip,2019AJ....158..138S,"20,43318349","0,3214865404",TIC plx hip,2019AJ....158..138S,0,K5+III,1989ApJS...71..245K,0,"3902,6",null,TIC,2019AJ....158..138S,"1,121076301",null,calculated_from_M_and_R,Calculated Value,null,null,null,null,"-0,3783","0,0183",TIC,2019AJ....158..138S,"2,605585146","0,01136730213",Stock2018,2018A&A...616A..33S,"43,92756573",null,calc_from_L_and_Teff,Calculated Value,"0,93","0,03",Stock2018,2018A&A...616A..33S,0,"9,54992586","0,8161194767",Stock2018,2018A&A...616A..33S,null,null,null,null,null,null,null,1,0,A,"31,6","12,75",null,null,null,1,alf Tau
TIC 272314138,"187,791407","-57,11318",null,null,272314138,null,null,61084,2MASS J12310993-5706474,8654-3422-1,WDS J12312-5707A,* gam Cru,tic_bright,28,8,-264,8,TIC tic7,2019AJ....158..138S,"5,01",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"3,23",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"1,64",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-0,02",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-1,44",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-1,994","0,099",TIC,2019AJ....158..138S,"-2,985","0,146",TIC,2019AJ....158..138S,"-3,258","0,168",TIC,2019AJ....158..138S,"-1,043","0,17",null,null,null,null,null,null,null,null,"36,83","0,18",Simbad 2007A&A...474..653V,2007A&A...474..653V,"27,15177844","0,1326994331",Simbad plx 2007A&A...474..653V,2007A&A...474..653V,0,M3.5III,1989ApJS...71..245K,0,3689,125,McDonald2017,2017MNRAS.471..770M,"0,4609173702","0,08917234326",calculated_from_M_and_R,Calculated Value,"0,712",null,McDonald2017,2017MNRAS.471..770M,null,null,null,null,"2,935203326","0,03014999661",update McDonald2017,2017MNRAS.471..770M,"71,85169161","5,470896085",calc_from_L_and_Teff,Calculated Value,"0,5441563949","0,0749456132",TIC_teff_mass_relation,Calculated Value,1,null,null,null,null,null,null,null,null,null,null,null,1,0,A,"133,2","4,62",null,null,null,0,null
TIC 322899250,"101,286998","-16,715745",null,null,322899250,null,null,32349,2MASS J06450887-1642566,5949-2777-1,WDS J06451-1643A,* alf CMa,tic_near,-546,8,-1223,8,TIC tic7,2019AJ....158..138S,"-1,51",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-1,46",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-1,46",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-1,46",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-1,43",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-1,391","0,109",TIC,2019AJ....158..138S,"-1,391","0,184",TIC,2019AJ....158..138S,"-1,39","0,214",TIC,2019AJ....158..138S,"-0,891","0,8",null,null,null,null,null,null,null,null,"379,21","1,58",Simbad 2007A&A...474..653V,2007A&A...474..653V,"2,637061259","0,01098746549",Simbad plx 2007A&A...474..653V,2007A&A...474..653V,0,A0mA1Va,2003AJ....126.2048G,1,9712,null,TIC,2019AJ....158..138S,"4,311785277",null,calculated_from_M_and_R,Calculated Value,null,null,null,null,"0,4987","0,1028",TIC,2019AJ....158..138S,"1,424240437",null,Pecaut_and_Mamajek_2013,Calculated Value,"1,82035259",null,calc_from_L_and_Teff,Calculated Value,"2,477585679","0,323463722",TIC_teff_mass_relation,Calculated Value,0,null,null,null,null,null,null,null,null,null,null,null,1,0,A,"11,3","9,91",null,null,null,0,null
TIC 368326352,"79,172437","45,997898",null,null,368326352,null,null,24608,2MASS J05164138+4559525,3358-3141-1,"WDS J05167+4600Aa,Ab",* alf Aur,tic_near,"75,52","0,77","-427,13","0,5",TIC tic7,2019AJ....158..138S,"1,33",null,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,"0,88",null,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,"0,08",null,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,"-0,52",null,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,"-0,96",null,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,"-1,249","0,202",TIC,2019AJ....158..138S,"-1,573","0,184",TIC,2019AJ....158..138S,"-1,735","0,144",TIC,2019AJ....158..138S,"-0,701","0,218",null,null,null,null,null,null,null,null,"76,2","0,46",Simbad 2007A&A...474..653V,2007A&A...474..653V,13,null,Simbad 2010A&ARv..18...67T,2010A&ARv..18...67T,0,G3III:,1989ApJS...71..245K,0,5205,45,Pastel,2022A&A...663A...4S,"2,080186335",null,calculated_from_M_and_R,Calculated Value,"2,5","0,34",Pastel,2022A&A...663A...4S,"-0,37","0,06",Pastel,2022A&A...663A...4S,"2,12529229",null,update McDonald2017,2017MNRAS.471..770M,"14,20552609",null,calc_from_L_and_Teff,Calculated Value,"0,8851835852","0,10314701",TIC_teff_mass_relation,Calculated Value,1,null,null,null,null,null,null,null,null,null,null,null,1,0,"Aa,Ab",0,"0,1",null,null,null,0,null
TIC 471011144,"219,903981","-60,837157",null,null,471011144,null,null,71681,null,9007-05848-1,WDS J14396-6050B,* alf Cen B,tic_near,"-3600,35","26,1","952,11","19,75",TIC tic7,2019AJ....158..138S,"2,89",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"2,21",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"1,33",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,null,null,null,null,null,null,null,null,"-0,01",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-0,49",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-0,6",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-0,15","1,5",null,null,null,null,null,null,null,null,"742,12","1,4",TIC hip,2019AJ....158..138S,"1,347490972","0,002542024687",TIC plx hip,2019AJ....158..138S,0,K1V,2006A&A...460..695T,1,5244,13,Pastel,2022A&A...663A...4S,"4,481990873",null,calculated_from_M_and_R,Calculated Value,"4,54","0,03",Pastel,2022A&A...663A...4S,"0,24","0,01",Pastel,2022A&A...663A...4S,"-0,2583092356",null,Pecaut_and_Mamajek_2013,Calculated Value,"0,8998552628",null,calc_from_L_and_Teff,Calculated Value,"0,8959186306","0,1054483509",TIC_teff_mass_relation,Calculated Value,0,null,null,null,null,null,"7,285097","17,195761","5,87772E+18","1,763552","20,252535","5,87772E+18",1,0,B,"5,3","-1,34",null,null,null,0,null
TIC 280310048,"114,825217","5,224936",null,null,280310048,null,null,37279,2MASS J07391805+0513298,0187-02184-1,WDS J07393+0514A,* alf CMi,tic_near,-717,8,-1035,8,TIC tic7,2019AJ....158..138S,"0,82",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"0,79",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"0,37",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-0,05",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-0,28",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-0,498","0,151",TIC,2019AJ....158..138S,"-0,666","0,27",TIC,2019AJ....158..138S,"-0,658","0,322",TIC,2019AJ....158..138S,"-0,105","0,19",null,null,null,null,null,null,null,null,"285,93","0,88",TIC hip,2019AJ....158..138S,"3,497359494","0,01076374062",TIC plx hip,2019AJ....158..138S,0,F5IV-V+DQZ,2013yCat....1.2023S,1,6584,null,TIC,2019AJ....158..138S,"3,9936105",null,calculated_from_M_and_R,Calculated Value,null,null,null,null,"0,0073","0,0079",TIC,2019AJ....158..138S,"0,857802557",null,Pecaut_and_Mamajek_2013,Calculated Value,"2,06335654",null,calc_from_L_and_Teff,Calculated Value,"1,53","0,03",gcs_reanalysis,2011A&A...530A.138C,0,"1,74","0,35",gcs_reanalysis,2011A&A...530A.138C,null,null,null,null,null,null,null,1,0,A,"3,8","10,34",null,null,null,0,null
TIC 471011145,"219,910043","-60,833976",null,null,471011145,null,null,71683,2MASS J14393592-6050069,9007-5849-1,WDS J14396-6050A,* alf Cen A,tic_near,"-3678,19","1,51","481,84","1,24",TIC tic7,2019AJ....158..138S,"0,96",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"0,72",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"0,01",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,null,null,null,null,null,null,null,null,"-1,454","0,133",Simbad 2003yCat.2246....0C,2003yCat.2246....0C,"-1,886","0,22",Simbad 2003yCat.2246....0C,2003yCat.2246....0C,"-2,008","0,26",Simbad 2003yCat.2246....0C,2003yCat.2246....0C,"-0,01",null,null,null,null,null,null,null,null,null,"742,12","1,4",TIC hip,2019AJ....158..138S,"1,347490972","0,002542024687",TIC plx hip,2019AJ....158..138S,0,G2V,2006A&A...460..695T,1,5776,16,Pastel,2022A&A...663A...4S,"4,23444456",null,calculated_from_M_and_R,Calculated Value,"4,3","0,03",Pastel,2022A&A...663A...4S,"0,2","0,01",Pastel,2022A&A...663A...4S,"0,2198564358",null,Pecaut_and_Mamajek_2013,Calculated Value,"1,286253275",null,calc_from_L_and_Teff,Calculated Value,"1,035213484","0,121635733",TIC_teff_mass_relation,Calculated Value,0,null,null,null,null,null,"7,405878","15,110233","5,87775E+18","4,484037","20,428917","5,87775E+18",1,0,A,"5,3","1,34",null,null,null,0,null
TIC 157587146,"279,234764","38,783747",null,null,157587146,null,null,91262,2MASS J18365633+3847012,3105-2070-1,WDS J18369+3846A,* alf Lyr,tic_near,"201,02","0,57","287,46","0,6",TIC tic7,2019AJ....158..138S,"0,03",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"0,03",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"0,03",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"0,07",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"0,1",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-0,177","0,206",TIC,2019AJ....158..138S,"-0,029","0,146",TIC,2019AJ....158..138S,"0,129","0,186",TIC,2019AJ....158..138S,"0,323","0,8",null,null,null,null,null,null,null,null,"128,93","0,55",TIC hip,2019AJ....158..138S,"7,756146746","0,03308679679",TIC plx hip,2019AJ....158..138S,0,A0Va,2003AJ....126.2048G,1,"9458,3",null,TIC,2019AJ....158..138S,"3,911880206",null,calculated_from_M_and_R,Calculated Value,null,null,null,null,"-0,4724","0,075",TIC,2019AJ....158..138S,"1,765292035",null,Pecaut_and_Mamajek_2013,Calculated Value,"2,842316867",null,calc_from_L_and_Teff,Calculated Value,"2,405235269","0,3192164871",TIC_teff_mass_relation,Calculated Value,0,null,null,null,null,null,null,null,null,null,null,null,1,0,A,"84,5","9,41",null,null,null,0,null
TIC 423088367,"116,328966","28,026137",null,null,423088367,null,null,37826,2MASS J07451891+2801340,1920-02194-1,WDS J07453+2802A,* bet Gem,tic_bright,-626,8,-46,8,TIC tic7,2019AJ....158..138S,3,null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"2,14",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"1,14",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"0,39",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-0,11",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"-0,315","0,232",TIC,2019AJ....158..138S,"-0,845","0,178",TIC,2019AJ....158..138S,"-0,936","0,16",TIC,2019AJ....158..138S,"0,443","0,239",null,null,null,null,null,null,null,null,"96,54","0,27",Simbad 2007A&A...474..653V,2007A&A...474..653V,"10,35840066","0,02897004536",Simbad plx 2007A&A...474..653V,2007A&A...474..653V,0,K0IIIb,1989ApJS...71..245K,0,4860,20,Pastel,2022A&A...663A...4S,"2,850487305","0,02172117286",calculated_from_M_and_R,Calculated Value,"2,89","0,04",Pastel,2022A&A...663A...4S,"0,02","0,03",Pastel,2022A&A...663A...4S,"1,594171479","0,001879584061",Stock2018,2018A&A...616A..33S,"8,840276441","0,07523227731",calc_from_L_and_Teff,Calculated Value,"2,02","0,095",Stock2018,2018A&A...616A..33S,0,"1,288249552","0,1705091197",Stock2018,2018A&A...616A..33S,null,null,null,null,null,null,null,1,0,A,"39,8","12,37",null,null,null,1,HD 62509
