star_name|simbad_name|ra|dec|st_teff|sy_dist|st_spectype|sy_icmag|st_rad|st_mass|fl_known|fl_gaia|from_catalog
TIC 459832522|* alf Boo|213.915338|19.182202|4295.0|11.257458065968704|K1.5IIIFe-0.5|-1.68|25.018645639478063|0.92|1|0.0|HPIC
TIC 245873777|* alf Tau|68.980213|16.509084|3902.6|20.43318348998774|K5+III|-1.31|43.92756573407304|0.93|1|0.0|HPIC
TIC 272314138|* gam Cru|187.791407|-57.11318|3689.0|27.15177844148792|M3.5III|-1.44|71.85169160791429|0.5441563948589293|1|0.0|HPIC
TIC 322899250|* alf CMa|101.286998|-16.715745|9712.0|2.6370612589330453|A0mA1Va|-1.43|1.8203525896298292|2.4775856792237505|1|0.0|HPIC
TIC 368326352|* alf Aur|79.172437|45.997898|5205.0|13.0|G3III:|-0.96|14.205526091276626|0.8851835852264439|1|0.0|HPIC
TIC 471011144|* alf Cen B|219.903981|-60.837157|5244.0|1.3474909718104888|K1V||0.899855262848747|0.8959186306211407|1|0.0|HPIC
TIC 280310048|* alf CMi|114.825217|5.224936|6584.0|3.497359493582345|F5IV-V+DQZ|-0.28|2.0633565402794045|1.53|1|0.0|HPIC
TIC 471011145|* alf Cen A|219.910043|-60.833976|5776.0|1.3474909718104888|G2V||1.2862532752257885|1.035213484399243|1|0.0|HPIC
TIC 157587146|* alf Lyr|279.234764|38.783747|9458.3|7.756146746296439|A0Va|0.1|2.8423168672992976|2.4052352692799066|1|0.0|HPIC
TIC 423088367|* bet Gem|116.328966|28.026137|4860.0|10.358400662937642|K0IIIb|-0.11|8.840276440775776|2.02|1|0.0|HPIC
TIC 440388263|* bet Aur|89.88216396171|44.94743634981|8848.7|24.86943546381497|A1IV-Vp|1.83|4.449358685806391|2.2264341531921854|1|0.0|HPIC
TIC 70257116|* alf Aql|297.695844|8.868386|7747.2|5.12952038984355|A7Vn|0.49|1.7915292251488666|1.8281924586383476|1|0.0|HPIC
TIC 306349516|* alf Ari|31.793405|23.462332|4537.0|20.21018593371059|K2-IIIbCa-1|0.54|14.58545029384291|1.45|0|0.0|HPIC
TIC 114434141|* bet Cet|10.897442|-17.986588|4851.0|29.37720329024677|G9.5IIICH-1|0.78|17.134223847240413|2.79|0|0.0|HPIC
TIC 179323446|* tet Cen|211.670609|-36.369934|4924.0|18.034265103697024|K0-IIIb|0.76|95.04294561366169|0.8081666320131379|1|0.0|HPIC
TIC 191437754|* eps Sco|252.54091763127|-34.29323861225|4517.0|24.4589|K1III|0.83|14.950070636043316|0.7102754806751789|0|0.0|HPIC
TIC 80256524|* alf Phe|6.570833|-42.30604|4770.0|25.0512|K0.5IIIb||13.076406115663302|0.7681499037191268|0|0.0|HPIC
TIC 357348164|* alf Leo|152.092926|11.967192|11535.0|23.759|B8IVn|1.47|5.428696223518697|3.04524678398948|1|0.0|HPIC
TIC 47552789|* alf PsA|344.412715|-29.622122|8515.5|7.7035667514059005|A4V|1.09|1.9051281245365397|2.1193596014385547|1|0.0|HPIC
TIC 396298498|* bet Cas|2.294576|59.149788|6810.0|16.69727834362999|F2III|1.77|3.629747402983327|1.93|1|0.0|HPIC
TIC 427733653|* alf And|2.096903|29.09042|13076.0|29.744199881023203|B8IV-VHgMn|2.19|2.9040954527960894|3.592546418709897|1|0.0|HPIC
TIC 43255143|* zet Her|250.321778|31.60275|5759.0|10.795638562020944|G0IV|1.99|2.707509354664011|1.030626266423431|1|0.0|HPIC
TIC 267211065|* bet Hyi|6.435112|-77.254246|5806.0|7.4783|G0V|1.94|1.8676915813662125|1.2|0|0.0|HPIC
TIC 367758676|* eta Boo|208.671115|18.397662|6054.0|11.341726210729274|G0IV|1.95|2.694893223247685|1.65|1|0.0|HPIC
TIC 14725877|* bet Leo|177.264989|14.572097|8501.5|11.091|A3Va|2.06|1.7098919855078454|2.114637065972199|1|0.0|HPIC
TIC 159523958|* del Leo|168.527155|20.523814|7973.7|17.693|A5IV(n)|2.41|2.549589769549645|1.9197874623452853|1|0.0|HPIC
TIC 30504485|* zet Sgr|285.652919|-29.880115|8670.0|27.314941272876265|A2.5Va||3.3485739772996626|2.1701995372510785|1|0.0|HPIC
TIC 91356756|* bet Ari|28.660037|20.808067|8318.0|18.26817683595177|kA4hA5mA5Va|2.43|2.290051407921544|2.0507441712503858|1|0.0|HPIC
TIC 155842257|* del Cap|326.7601575989|-16.12733287612|7021.0|13.6306|kA5hF0mF2III|2.43|2.16349244158464|1.5468534111914067|1|1.0|HPIC
TIC 386886963|* alf02 Lib|222.719715|-16.041771|8241.0|23.66863905325444|kA2hA5mA4IV-V|2.57|2.972971303834733|2.022736382246387|1|0.0|HPIC
TIC 248409489|* bet Eri|76.96247|-5.086396|7500.0|27.5896|A3IV|2.57|3.921896447003346|1.728065133395401|1|1.0|HPIC
