hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_rvflag,st_lbtiflag,st_probeflag,st_k2flag,st_k2campaign,st_ppnum,wds_designation,wds_sep,wds_deltamag,ra,raerr,rastr,dec,decerr,decstr,st_glon,st_glonerr,st_glat,st_glaterr,st_fracplxunc,st_dist,st_disterr1,st_disterr2,st_pmra,st_pmraerr,st_pmdec,st_pmdecerr,st_vmag,st_vmagerr,st_vmagsrc,st_kmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_vmk,st_vmkerr,st_vmksrc,st_spttype,st_lumclass,st_spttag,st_mbol,st_mbolerr,st_mbolsrc,st_mbolflag,st_lbol,st_lbolerr,st_lbolsrc,st_teff,st_tefferr,st_teffsrc,st_logg,st_loggerr,st_loggsrc,st_metfe,st_metfeerr,st_metfesrc,st_metratio,st_rad,st_raderr,st_radsrc,st_mass,st_masserr,st_masssrc,st_age,st_ageerr,st_agesrc,st_actclass,st_eeidau,st_eeidauerr,st_eeidmas,st_eeidmaserr,st_fpbearth,st_fpbeartherr,st_vmagearth,st_vmageartherr,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_j2m,st_j2merr,st_j2mlim,st_h2m,st_h2merr,st_h2mlim,st_ks2m,st_ks2merr,st_ks2mlim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim,star_name
HIP 3206,HD 3765,GJ 28,2MASS J00404929+4011133,1,0,0,0,0,0,0,0,,0,,,,10.204158,,00h40m49.00s,40.188799,,+40d11m19.7s,120.734384,,-22.637565,,0.01,17.33,0.18,-0.17,355.7,,-668.9,,7.36,0.01,G,2MASS,0.94,0.02,G,2.2,0.02,,K2V,MAINSEQ,K,6.17,0.04,,0,0.37,0.05,V-K,5032,,2005ApJS..159..141V,4.58,,2007ApJS..168..297T,0.18,,,[Fe/H],0.79,,2007ApJS..168..297T,0.85,,2007ApJS..168..297T,2,,2007ApJS..168..297T,VI,0.61,,35.18,,0,,31.13,,1,0,1,0,0,2,6,5.694,0.024,0,5.272,0.051,0,5.164,0.016,0,,,,,,,,,,,,,HIP 3206
HIP 3261,,GJ 1016,2MASS J00413051-3337317,1,0,0,0,0,0,0,0,,0,,,,10.377988,,00h41m30.72s,-33.624954,,-33d37m29.8s,320.553419,,-83.160339,,0.04,19.53,0.81,-0.75,-348.1,,-249.4,,10.53,0.01,Koen,2MASS,1.44,0.01,Koen,3.7,0.02,,,MAINSEQ,M,9.07,0.11,,0,0.06,0.11,V-K,3885,,V-K,,,,,,,,0.52,,Turnbull,0.48,,Turnbull,,,,I,0.24,,12.15,,0,,32.24,,1,0,1,0,0,2,0,7.708,0.02,0,7.1,0.038,0,6.884,0.016,0,,,,,,,,,,,,,HIP 3261
HIP 3850,HD 4747,GJ 36,2MASS J00492678-2312447,1,0,0,0,0,0,0,0,,0,,,,12.360155,,00h49m26.44s,-23.212774,,-23d12m46.0s,116.240632,,-86.058584,,0.01,18.69,0.19,-0.19,516.7,,119.5,,7.16,0.01,Koen,2MASS,0.77,0.01,Koen,1.85,0.03,,G8/K0V,MAINSEQ,G,5.8,0.03,,0,0.47,0.04,V-K,5335,,2005ApJS..159..141V,4.58,,2007ApJS..168..297T,-0.22,,,[Fe/H],0.8,,2007ApJS..168..297T,0.85,,2007ApJS..168..297T,1.44,,2007ApJS..168..297T,I,0.69,,36.79,,0,,31.19,,1,0,1,0,0,2,3,5.813,0.021,0,5.433,0.049,0,5.305,0.029,0,,,,,,,,,,,,,HIP 3850
HIP 4012,,GJ 38,2MASS J00512963+5818071,1,0,0,0,0,0,0,0,,0,,,,12.867071,,00h51m28.10s,58.301042,,+58d18m03.8s,122.935924,,-4.570622,,0.05,18.51,0.97,-0.88,1566.8,,405.2,,10.66,0.01,G,2MASS,1.36,0.02,G,3.61,0.02,,M2,MAINSEQ,M,9.32,0.12,,0,0.04,0.12,V-K,3935,,V-K,,,,,,,,0.45,,Turnbull,0.45,,Turnbull,,,,,0.21,,11.35,,0,,32.12,,1,0,1,0,0,2,0,7.831,0.018,0,7.235,0.018,0,7.047,0.018,0,,,,,,,,,,,,,HIP 4012
HIP 4473,HD 5633,GJ 45,2MASS J00571972-6214444,1,0,0,0,0,0,0,0,,0,,,,14.326914,,00h57m18.46s,-62.245907,,-62d14m45.3s,301.744395,,-54.868721,,0.02,19.66,0.4,-0.39,1028.3,,127.8,,9.5,0,G,2MASS,1.3,0.01,G,3.22,0.02,,M0V,MAINSEQ,M,8.03,0.05,,0,0.11,0.05,V-K,4191,,V-K,,,,,,,,0.63,,Turnbull,0.57,,Turnbull,,,,A,0.33,,17.02,,0,,31.97,,1,0,1,0,0,2,0,7.081,0.025,0,6.486,0.036,0,6.284,0.02,0,,,,,,,,,,,,,HIP 4473
HIP 7170,,GJ 3098,2MASS J01322625-2154172,1,0,0,0,0,0,0,0,,0,,,,23.110719,,01h32m26.57s,-21.902967,,-21d54m10.7s,185.880835,,-79.315441,,0.03,17.86,0.55,-0.52,-588.4,,-888.2,,11.16,0.01,Koen,2MASS,1.51,0.01,Koen,4.06,0.02,,,MAINSEQ,M,9.9,0.09,,0,0.04,0.13,V-K,3683,,V-K,,,,,,,,0.46,,Turnbull,0.43,,Turnbull,,,,,0.19,,10.6,,0,,32.39,,1,0,1,0,0,2,0,7.977,0.021,0,7.346,0.029,0,7.1,0.016,0,,,,,,,,,,,,,HIP 7170
HIP 7978,HD 10647,GJ 3109,2MASS J01422932-5344271,1,0,1,0,1,0,1,0,,1,,,,25.621463,,01h42m29.15s,-53.740575,,-53d44m26.1s,286.897916,,-61.76973,,0,17.43,,,167,,-106.7,,5.52,0.02,VT,,0.53,0.02,BVT-Red,,,,F8V,MAINSEQ,F,4.31,0.03,,0,1.64,0.1,B-V,6105,,2005ApJS..159..141V,4.39,,2007ApJS..168..297T,-0.08,,,[Fe/H],1.14,,2007ApJS..168..297T,1.1,,2007ApJS..168..297T,2.92,,2007ApJS..168..297T,A,1.28,,73.52,,0,,30.9,,2,0,1,1,0,2,1,4.791,0.226,0,4.399,0.234,0,4.34,0.276,0,4.171,0.377,0,3.913,0.222,0,4.22,0.014,0,3.954,0.021,0,HD 10647
HIP 910,HD 693,GJ 10,2MASS J00111587-1528043,1,1,0,0,0,1,1,0,,0,,,,2.816284,,00h11m15.91s,-15.467323,,-15d28m02.4s,82.228932,,-75.064625,,0.01,18.75,0.19,-0.19,-84.2,,-269.3,,4.89,0.01,G,Kidger,0.49,0.01,G,1.29,0.05,,F5V,MAINSEQ,F,3.53,0.03,,0,3.38,0.06,V-K,6255,,Gray,4.18,,Gray,,,,,1.57,,Turnbull,1.37,,Turnbull,,,,I,1.84,,98.13,,0,,31.06,,1,0,1,0,0,2,1,4.153,0.268,0,3.8,0.208,0,3.821,0.218,0,,,,,,,,,,,,,HIP 910
HIP 1720,,GJ 3029,2MASS J00213729-4605331,1,0,0,0,0,0,0,0,,0,,,,5.406335,,00h21m37.52s,-46.091736,,-46d05m30.3s,318.285049,,-70.137511,,0.08,19.31,1.68,-1.43,-301.1,,-359.5,,12.24,0.01,Koen,2MASS,1.53,0.01,Koen,4.74,0.58,,M6,,,10.81,0.2,,0,0.03,0.62,V-K,3373,,V-K,,,,,,,,0.49,,Turnbull,0.4,,Turnbull,,,,,0.17,,8.64,,0,,33.2,,1,0,1,0,0,2,0,8.325,0.019,0,7.734,0.029,0,7.447,0.016,0,,,,,,,,,,,,,HIP 1720
HIP 1734,,GJ 1009,2MASS J00215604-3124215,1,0,0,0,0,0,0,0,,0,,,,5.483339,,00h21m56.00s,-31.405586,,-31d24m20.1s,357.554386,,-82.276727,,0.04,17.98,0.75,-0.69,61.8,,-200.1,,11.13,0.01,Koen,2MASS,1.51,0.01,Koen,4.38,0.02,,M2V:,MAINSEQ,M,9.86,0.1,,0,0.05,0.14,V-K,3528,,V-K,,,,,,,,0.57,,Turnbull,0.45,,Turnbull,,,,,0.21,,11.92,,0,,32.63,,1,0,1,0,0,2,1,7.674,0.02,0,7.052,0.036,0,6.785,0.017,0,6.676,0.071,0,6.58,0.023,0,6.556,0.016,0,6.46,0.063,0,HIP 1734
