# %ECSV 0.9
# ---
# datatype:
# - name: sim_ra
#   unit: deg
#   datatype: float64
#   description: Right ascension
#   meta: !!omap
#   - {ucd: pos.eq.ra;meta.main}
# - name: sim_dec
#   unit: deg
#   datatype: float64
#   description: Declination
#   meta: !!omap
#   - {ucd: pos.eq.dec;meta.main}
# - name: sim_plx
#   unit: mas
#   datatype: float64
#   description: Parallax
#   meta: !!omap
#   - {ucd: pos.parallax.trig}
# - name: distance
#   datatype: float64
#   meta: !!omap
#   - {ucd: pos.parallax.trig}
# - {name: sim_name, datatype: string}
# - {name: sim_sptype, datatype: string}
# - {name: gal_coord_l, unit: deg, datatype: float64}
# - {name: gal_coord_b, unit: deg, datatype: float64}
# - {name: mod_Teff, unit: K, datatype: float64}
# - {name: mod_R, unit: solRad, datatype: float64}
# - {name: mod_M, unit: solMass, datatype: float64}
# - {name: sep_phys, unit: AU, datatype: float64}
# - {name: binary_flag, datatype: bool}
# delimiter: ','
# meta: !!omap
# - {ID: result_1589263939298}
# - {name: result_1589263939298}
# schema: astropy-2.0
sim_ra,sim_dec,sim_plx,distance,sim_name,sim_sptype,gal_coord_l,gal_coord_b,mod_Teff,mod_R,mod_M,sep_phys,binary_flag
150.2527365830305,31.9236713468053,66.9958,14.926308813388301,*  20 LMi,G3VaHdel1,195.0155201232689,52.85332973711943,5720.0,1.01,1.0,1985.2,True
150.20923550319543,31.929234542657777,68.8826,14.51745433534739,*  20 LMi B,M6.0V,195.00221283845883,52.81686810368163,2710.0,0.129,0.097,1930.8,True
157.6565848660619,55.9805378935249,77.4346,12.914123660482522,*  36 UMa,F8V,154.29181549346092,51.70255043292826,6170.0,1.25,1.18,1582.0,True
157.6054544219487,55.9991274839079,77.4032,12.919362506976457,*  36 UMa B,K7Ve,154.29284871271716,51.66844643632708,4070.0,0.654,0.63,1582.6,True
259.76598968564497,-46.63623370163472,113.8158,8.786126355040338,*  41 Ara A,G9V,342.2988889764403,-5.268014250991195,5340.0,0.876,0.9,32.5,True
259.76236815054165,-46.636996217725,120.1791,8.32091436863814,*  41 Ara B,M0VpCa-3Cr-1,342.2968377910193,-5.266404017360322,3800.0,0.535,0.54,30.8,True
316.7247483752822,38.7494158400991,285.9459,3.497165023173964,*  61 Cyg A,K5V,82.31973924955679,-5.818105190525726,4330.0,0.672,0.66,68.5,True
316.7302669382731,38.7420450391424,286.1457,3.494723142790544,*  61 Cyg B,K7V,82.31713230537673,-5.826237087716253,4070.0,0.654,0.63,68.5,True
116.39549636195292,-34.17257878982083,65.1134,15.357821892267951,* 171 Pup,F9V,249.10809297476828,-4.805714902073979,6000.0,1.18,1.11,13378.2,True
118.06526169914876,-34.70544382737223,54.7755,18.25633723106133,* 212 Pup A,F5V,250.2640387068748,-3.8828017258940704,6510.0,1.46,1.33,54.8,True
118.0639821601581,-34.7054911318728,54.4566,18.36324706279863,* 212 Pup B,K3V,250.26354294855886,-3.883731281449549,4700.0,0.72,0.73,55.1,True
48.01887218948417,-28.987619062475,71.6818,13.950542536599249,* alf For A,F6V,224.73040578521957,-59.03031545638669,6340.0,1.36,1.25,41.9,True
48.0174984432959,-28.9869504889612,71.128,14.059160949274547,* alf For B,G7V,224.7289018996161,-59.03145216064035,5530.0,0.949,0.96,42.2,True
298.82844518685,6.4104126623183335,73.6059,13.585867437257066,* bet Aql B,M3,46.128751116195794,-11.093420805377974,3250.0,0.291,0.26,160.3,True
330.840225956242,-56.7859825050536,274.8048,3.638946626842035,* eps Ind,K5V,336.1926245297701,-48.04486025803477,4330.0,0.672,0.66,1463.9,True
86.11579539166667,-22.44838354527778,112.02,8.926977325477594,* gam Lep,F6V,226.7957600850199,-24.273096006213557,6340.0,1.36,1.25,855.2,True
190.4150990226471,-1.4493949534586112,86.0628,11.619422096422612,* gam Vir A,F1-F2V,297.83414299337346,61.32553694504877,7030.0,1.64,1.5,31.4,True
190.4147607686542,-1.4494021269330557,78.5233,12.735073538682148,* gam Vir B,F0mF2V,297.8334416689249,61.32550304291013,7220.0,1.79,1.59,34.4,True
94.11091157738,12.2721641457319,51.193,19.533920653214306,* k Ori,F5V,198.03372585541632,-2.0258726842310892,6510.0,1.46,1.33,470.8,True
222.84744868875626,19.100456090255,148.5195,6.733122586596373,* ksi Boo A,G7Ve,23.08585939294626,61.356259576296985,5530.0,0.949,0.96,22.9,True
222.8460183189087,19.1019115633484,148.2131,6.747041928142655,* ksi Boo B,K5Ve,23.087626306729657,61.35805621669611,4330.0,0.672,0.66,22.9,True
341.67325489916664,12.172884846388888,61.36,16.297262059973924,* ksi Peg,F6V,81.27500457358956,-40.39896602807393,6340.0,1.36,1.25,179.3,True
341.6764251922839,12.1725331673575,61.1719,16.34737518370363,* ksi Peg B,M3.5,81.2779648736325,-40.40112133144729,3250.0,0.291,0.26,179.8,True
133.1702614512311,28.3163402341315,80.1166,12.481807765182246,* rho01 Cnc B,M4.5V,196.81800548369407,37.71344587783878,3100.0,0.243,0.18,1061.0,True
216.29915428624997,51.85074358166667,68.82,14.530659691950015,* tet Boo,F7V,93.832100881949,59.652596573192874,6240.0,1.3,1.21,1004.1,True
