,main_id,coo_ra,coo_dec,plx_value,dist_st_value,sptype_string,coo_gal_l,coo_gal_b,teff_st_value,mass_st_value,radius_st_value,binary_flag,mag_i_value,mag_j_value,class_lum,class_temp,parent_main_id,sep_ang_value,sep_phys_value,a_crit_s,ecliptic_pm45deg,Lon,Lat,baseline_E,separation_E,baseline_i,baseline_o,Erik_teff,teff,contrast,contrast_flag,baseline_flag,optimised_flag
0,PM J17198+2833,259.96283461373,28.56436448074,38.3254,26.09,M3.1,51.3691353310011,31.4763668440579,3316.0,0.27,0.40234836935997,False,,9.69499969482422,V,M,,,,,False,255.7540802572664,51.506837312692454,239.0964321203926,0.005089839049731573,250.76645357378172,141.4513568278704,3396.2527259040853,3316.0,1.666279222616239e-06,1,0,0
1,SIPS J0004-2058,1.17278164347292,-20.9749664489617,66.4805,15.04,M7.0,60.4089653086318,-77.6908775606971,2630.0,0.088,0.116,False,15.6499996185303,12.4040002822876,V,M,,,,,True,352.3804294197047,-19.63666981243776,759.9913612636266,0.00160128446043708,797.0856642261698,449.61695277020993,2679.1683248190316,2630.0,2.6861496279728886e-05,1,0,0
2,PM J16299+0453,247.47772620577,4.89045100247,39.0442,25.61,M3.0V,19.9555923510713,33.5262690605739,3297.0,0.27,0.3,False,,9.14999961853027,V,M,,,,,True,244.78023020453824,26.37817460875662,318.4056277147221,0.003822050400278148,333.9466396543718,188.37130969482098,3427.6778654645045,3297.0,3.0184534234804258e-06,1,0,0
3,L  372-58,53.998746505525,-44.5127030084914,272.1615,3.67,M5.5V,251.869779421842,-52.9048870859162,4250.0,0.123,0.156,False,9.47000026702881,7.5229997634887695,V,M,,,,,False,30.860080284987532,-60.77785598781156,111.03803601107289,0.01095986925359983,116.45767465184917,65.69098800001954,2930.8932452503213,2930.8932452503213,1.2929375116547148e-05,1,0,0
4,PM J23229+3717,350.74320769336,37.28730216746,43.6309,22.92,M2.0V,104.039607859366,-22.3176726562606,3453.0,0.4,0.505618751049042,False,,8.79699993133545,V,M,,,,,True,8.941924554196005,37.356918969952154,154.14469783192672,0.007894934914886244,161.66832298463916,91.1932330515461,3556.3131856898544,3453.0,1.0040206104123677e-06,1,0,0
5,Ross  324,19.4609505638933,28.6704941137664,59.847,16.71,M0V,129.907411278383,-33.8433485919648,3393.0,0.54,0.544,False,,8.32299995422363,V,M,,,,,True,29.027141483783574,18.901040037615495,108.17829608379394,0.011249598125627902,113.45835411265354,63.99914304314977,3845.9178204535356,3393.0,8.861487778004763e-07,1,0,0
6,Wolf 1506,15.3234501484363,29.0331752698128,35.8815,27.87,M3,125.524199684085,-33.7889595993605,3217.15356445313,0.27,0.363320797681808,False,,9.98499965667725,V,M,,,,,True,25.657979226417982,20.69484370448147,300.4923583648706,0.004049894524705952,315.1590442605924,177.77367662983357,3427.6778654645045,3217.15356445313,2.121313151955867e-06,1,0,0
7,L  559-194,268.512464872193,-34.6717095018711,52.4654,19.06,M3.5V,355.98687314713,-4.47503140208188,3263.0,0.27,0.3,False,,9.43099975585938,V,M,,,,,True,268.74695177576996,-11.238645440048742,241.93449792046985,0.005030131574116873,253.74304209659192,143.13037919816477,3273.406948788383,3263.0,3.057314501010297e-06,1,0,0
8,LSPM J0430+3601,67.57594475269,36.02618259423,33.6498,29.72,M2.6,164.805728621328,-8.4861475784746,3530.0,0.4,0.421,False,,9.28499984741211,V,M,,,,,True,71.46472747920149,14.019773240491613,229.69291754010743,0.005298214546146686,240.90396427808167,135.88816257801966,3459.3937782612206,3530.0,1.4097721233084505e-06,1,0,0
9,LP  325-24,215.15200264918,31.50122469734,35.2984,28.33,M4.5Ve,50.9667252424276,70.1143438482194,3110.0,0.184,0.217,False,,10.78600025177,V,M,,,,,True,199.1825792799276,42.42453415372664,547.2633546708287,0.002223723453198971,573.974648658045,323.7653668599365,3111.716337106017,3110.0,6.202360499927805e-06,1,0,0
10,G 177-52,205.079063257423,47.2080459122653,42.2281,23.68,M4.5V,100.617880666161,67.7464839809161,3073.29077148438,0.184,0.222107172012329,False,,10.6850004196167,V,M,,,,,False,177.42353710232615,51.97702253040561,457.659116166687,0.0026591021873464235,479.99693048135265,270.7547844704975,3111.716337106017,3073.29077148438,6.008884817446561e-06,1,0,0
11,MCC 357,6.71959289785,70.1424217975,61.8731,16.16,M1.0V,120.832483972684,7.37085059143431,3455.28491210938,0.47,0.606359779834747,False,,7.41099977493286,V,M,,,,,False,50.599859024727394,57.903353406460816,90.50520324396061,0.013446324777344512,94.92265796770378,53.543600317691705,3655.9479161312506,3455.28491210938,6.975531027221653e-07,1,1,1
12,G 259-15,262.821690144146,82.0889047307058,77.7352,12.86,M4V,114.381436935053,29.5785096253572,3029.0,0.184,0.217,False,,9.57199954986572,V,M,,,,,False,93.68364228661794,74.3808933754942,261.88642897818914,0.004646908820766812,274.66880392800874,154.93410079460182,3213.660538640318,3029.0,6.41059498834244e-06,1,0,0
13,LP  642-72,352.09377131059,0.47765111998,42.8754,23.32,M3e,83.671412818147,-55.9288461236187,3398.0,0.27,0.3,False,,9.37399959564209,V,M,,,,,True,352.9260063118135,3.575725792688759,272.9548704323048,0.004458474600326598,286.2774832605386,161.48227906631337,3427.6778654645045,3398.0,2.9085608251744253e-06,1,0,0
14,BD-12   165,14.2100988854571,-11.5888371560467,39.1987,25.51,M0,127.86028090403,-74.4088652050378,3942.0,0.54,0.544,False,9.25300025939941,8.22700023651123,V,M,,,,,True,8.428824119621938,-16.259761177807505,122.35131029836793,0.00994645953435369,128.3231368261401,72.38401132919223,3845.9178204535356,3942.0,7.392318244024977e-07,1,0,0
15,G   5-32,50.84341079686,11.68704287028,58.469,17.1,M3.5Ve,171.484141599484,-36.4815957390421,3136.39233398438,0.27,0.481812208890915,False,,8.38599967956543,V,M,,,,,True,51.499870073750365,-6.673380727927536,146.28097558832553,0.008319348103629906,153.42078151599773,86.5409922330181,3273.406948788383,3136.39233398438,1.244932107088384e-06,1,0,0
16,Wolf  406,182.092526147716,-0.4826021604475,34.3288,29.13,K4V,280.62978485363,60.5107719412022,3727.0,0.73,0.713,False,,8.39599990844727,V,K,,,,,True,182.11269129370115,0.38934053136479163,78.1954098820747,0.01556309198574636,82.01203777061164,46.261028353453,4602.565735813559,4602.565735813559,3.585606329531408e-07,1,1,1
17,HD  31000,73.48421278395,36.75743322418,36.3171,27.54,G5V,167.37806871263,-4.40986621498009,5394.0,0.98,0.977,False,,6.3600001335144,V,G,,,,,True,76.42405955565955,14.094173824959766,39.28057112583801,0.03098127959899681,41.19781055795589,23.23869927061768,5662.3928903825345,5394.0,1.59094646314944e-07,1,1,1
