main_id,coo_ra,coo_dec,plx_value,dist_st_value,sptype_string,coo_gal_l,coo_gal_b,teff_st_value,mass_st_value,radius_st_value,binary_flag,mag_i_value,mag_j_value,class_lum,class_temp,parent_main_id,sep_ang_value,sep_phys_value,a_crit_s,ecliptic_pm45deg
PM J17198+2833,259.96283461373,28.56436448074,38.3254,26.09,M3.1,51.36913533100109,31.47636684405785,3316.0,0.27,0.4023483693599701,False,,9.694999694824219,V,M,,,,,False
SIPS J0004-2058,1.1727816434729168,-20.974966448961666,66.4805,15.04,M7.0,60.408965308631814,-77.69087756069707,2630.0,0.088,0.116,False,15.649999618530273,12.404000282287598,V,M,,,,,True
PM J16299+0453,247.47772620577,4.89045100247,39.0442,25.61,M3.0V,19.955592351071342,33.52626906057394,3297.0,0.27,0.3,False,,9.149999618530273,V,M,,,,,True
L  372-58,53.998746505525006,-44.51270300849139,272.1615,3.67,M5.5V,251.86977942184183,-52.90488708591616,4250.0,0.123,0.156,False,9.470000267028809,7.5229997634887695,V,M,,,,,False
PM J23229+3717,350.7432076933599,37.28730216746,43.6309,22.92,M2.0V,104.03960785936641,-22.317672656260577,3453.0,0.4,0.5056187510490417,False,,8.79699993133545,V,M,,,,,True
Ross  324,19.46095056389333,28.670494113766384,59.847,16.71,M0V,129.90741127838314,-33.84334859196482,3393.0,0.54,0.544,False,,8.322999954223633,V,M,,,,,True
Wolf 1506,15.32345014843625,29.03317526981278,35.8815,27.87,M3,125.52419968408509,-33.788959599360496,3217.153564453125,0.27,0.36332079768180847,False,,9.984999656677246,V,M,,,,,True
L  559-194,268.5124648721925,-34.67170950187111,52.4654,19.06,M3.5V,355.9868731471298,-4.475031402081878,3263.0,0.27,0.3,False,,9.430999755859375,V,M,,,,,True
LSPM J0430+3601,67.57594475269,36.02618259423,33.6498,29.72,M2.6,164.80572862132848,-8.486147578474599,3530.0,0.4,0.421,False,,9.28499984741211,V,M,,,,,True
LP  325-24,215.15200264917996,31.501224697340003,35.2984,28.33,M4.5Ve,50.96672524242764,70.11434384821939,3110.0,0.184,0.217,False,,10.78600025177002,V,M,,,,,True
G 177-52,205.07906325742292,47.20804591226528,42.2281,23.68,M4.5V,100.61788066616066,67.7464839809161,3073.290771484375,0.184,0.2221071720123291,False,,10.6850004196167,V,M,,,,,False
MCC 357,6.71959289785,70.1424217975,61.8731,16.16,M1.0V,120.83248397268396,7.370850591434307,3455.284912109375,0.47,0.6063597798347473,False,,7.410999774932861,V,M,,,,,False
G 259-15,262.82169014414626,82.08890473070583,77.7352,12.86,M4V,114.3814369350527,29.578509625357214,3029.0,0.184,0.217,False,,9.571999549865723,V,M,,,,,False
LP  642-72,352.09377131058994,0.47765111997999987,42.8754,23.32,M3e,83.67141281814696,-55.92884612361871,3398.0,0.27,0.3,False,,9.37399959564209,V,M,,,,,True
BD-12   165,14.210098885457082,-11.588837156046667,39.1987,25.51,M0,127.86028090402982,-74.40886520503781,3942.0,0.54,0.544,False,9.253000259399414,8.22700023651123,V,M,,,,,True
G   5-32,50.84341079686,11.68704287028,58.469,17.1,M3.5Ve,171.48414159948354,-36.48159573904214,3136.392333984375,0.27,0.4818122088909149,False,,8.38599967956543,V,M,,,,,True
Wolf  406,182.0925261477162,-0.4826021604475,34.3288,29.13,K4V,280.6297848536302,60.51077194120218,3727.0,0.73,0.713,False,,8.395999908447266,V,K,,,,,True
HD  31000,73.48421278395,36.75743322417999,36.3171,27.54,G5V,167.37806871262953,-4.409866214980091,5394.0,0.98,0.977,False,,6.360000133514404,V,G,,,,,True
HD  61214,113.86181395098,-52.44253427568,39.5637,25.28,K3.5Vk:,264.66615460562485,-14.9480077202507,4605.564453125,0.78,0.7624925374984741,False,,6.980000019073486,V,K,,,,,False
LP  315-53,154.14445341843626,27.863562820284997,49.6242,20.15,M8V,202.53900675143575,55.79485064991267,2420.0,0.08,0.104,False,14.555000305175781,11.987000465393066,V,M,,,,,True
LSPM J1716+1133,259.19916479541996,11.564532697,40.3513,24.78,M4.0V,32.876991760471306,26.188472842064552,3000.027099609375,0.184,0.38701000809669495,False,,9.798999786376953,V,M,,,,,True
LP  822-7,351.86020311256664,-17.692437611346666,54.3954,18.38,M7V,54.52009352211144,-68.45930581592044,2630.0,0.088,0.116,False,,11.751999855041504,V,M,,,,,True
HD   8262,20.574489862303754,18.682707642608612,38.3495,26.08,G2V,133.04310073593882,-43.58234257643579,5683.07470703125,0.9567500352859497,1.0130258798599243,False,,5.803999900817871,V,G,,,,,True
HD 151541,250.66073577340123,68.10216428123583,41.3671,24.17,K1,99.69865646042197,36.866511628505066,5250.60205078125,0.8372332453727722,0.8677075505256653,False,,6.126999855041504,V,K,,,,,False
G 200-31,215.16403063956128,46.04274391709805,48.2195,20.74,M4.5,85.79297316193306,64.12947126991364,3075.7568359375,0.184,0.2145172506570816,False,,10.454999923706055,V,M,,,,,False
LP  500-35,217.01731489930663,13.93703584195722,75.5877,13.23,M7V,7.43352224322584,63.891810860494736,2630.0,0.088,0.116,False,13.350000381469727,11.013999938964844,V,M,,,,,True
G 252-13,127.87549674978122,73.0627154797914,68.214,14.66,M4.0V,141.29716424532225,33.08245684061261,3033.9287109375,0.184,0.36607494950294495,False,,8.779999732971191,V,M,,,,,False
LP  101-372,258.5363506446304,60.79164367942528,45.1781,22.13,M5.5V,89.94883845119472,35.23191502023781,2854.2626953125,0.123,0.1502990573644638,False,,11.657999992370605,V,M,,,,,False
LSPM J2117+7345,319.42365675456585,73.76517988180362,41.3803,24.17,M6.0V,109.36370141924444,16.832475155757635,2740.0,0.093,0.126,False,,11.824999809265137,V,M,,,,,False
G 140-36,271.37135987997,1.5433182802599996,46.8894,21.33,M3.5V,29.03017941552415,10.921902753471393,3250.0,0.27,0.3,False,,9.107000350952148,V,M,,,,,True
G 137-78,240.71226939088794,20.589176742654438,99.7948,10.02,M4V,35.12171717077059,46.00682044668618,3087.0,0.184,0.217,False,,8.131999969482422,V,M,,,,,True
LP  415-217,68.65763552578,19.10139681451,58.9519,16.96,M5.5Ve,178.61587487561513,-18.875336431470565,2930.0,0.123,0.156,False,,10.609999656677246,V,M,,,,,True
Ross  415,93.73779859212,-5.04801939786,38.6212,25.89,M3.0,213.29911153734824,-10.408574714380515,3270.0,0.27,0.3,False,,9.925999641418457,V,M,,,,,True
G 264-22,333.85894603706,66.22436664555,55.8339,17.91,M3V,108.08815482845385,7.957811903869914,3175.0,0.27,0.3,False,,8.75,V,M,,,,,False
G   8-29,65.4586595718,21.3285652682,48.4126,20.66,M3.5V,174.76195896681878,-19.736529245397293,3092.423583984375,0.27,0.43775099515914917,False,,9.079999923706055,V,M,,,,,True
LSR J0354+3333,58.50371934444333,33.558572226921385,43.1331,23.18,M6.0V,161.11526204450183,-15.451953813500225,2740.0,0.093,0.126,False,14.100000381469727,11.838000297546387,V,M,,,,,True
LP  346-8,350.30440641842,30.38595545310999,40.1805,24.89,M4,100.79685434904647,-28.578816277080335,3063.0,0.184,0.2322247326374054,False,,10.630000114440918,V,M,,,,,True
LP  222-65,229.16964622231998,39.180110720369996,56.6819,17.64,M7V,64.08074120364995,57.564851123216386,2630.0,0.088,0.116,False,,10.795999526977539,V,M,,,,,False
CD-31   561,20.85324830649,-30.759454629600004,43.6183,22.93,M1,242.26109868594455,-82.1215572014476,3532.0,0.47,0.482,False,,8.616000175476074,V,M,,,,,True
Ross  136,275.5278173086766,6.343773000466388,67.5409,14.81,M4V,35.28491435056429,9.396265428763384,3300.720947265625,0.184,0.32470983266830444,False,,8.670999526977539,V,M,,,,,True
2MASS J11482591-3809278,177.10799484734,-38.15773629248,44.1505,22.65,M5.0,289.51669188017024,23.067179107606364,2930.0,0.123,0.156,False,,11.12399959564209,V,M,,,,,True
PM J06262+2349,96.56057251184001,23.827378088549995,36.3393,27.52,M1.5Ve,188.90656988899363,5.444802324768963,3595.775390625,0.47,0.5329821705818176,False,,8.640000343322754,V,M,,,,,True
G  24-12,304.09169225244,-2.06894668448,37.6152,26.58,M0.5V,41.05133601494114,-19.78915880064118,3898.0,0.5676419138908386,0.52938312292099,False,,8.383999824523926,V,M,,,,,True
L  750-79,145.64863972574375,-19.234761566899166,58.6305,17.06,M2.5V,253.1376062895128,24.872653606577,3204.080810546875,0.4,0.48334765434265137,False,9.598999977111816,8.29800033569336,V,M,,,,,True
Wolf 1438,183.3352665345408,16.6943563036025,33.3484,29.99,M1.5V,260.77922244488934,76.33989175870653,3551.0,0.47,0.482,False,,8.866999626159668,V,M,,,,,True
HD 148467,246.98711339962705,7.305443595223054,57.0866,17.52,K6V,22.23262910425486,35.118228128892945,4155.0,0.69,0.669,False,,6.551000118255615,V,K,,,,,True
CD-24 12677,245.78184680983205,-24.70978380787666,60.4043,16.56,M2V,352.30584922292365,17.267259878987925,3927.0,0.4,0.421,False,8.314000129699707,7.260000228881836,V,M,,,,,True
PM J19546+2013,298.65650002579,20.21848105849,36.3849,27.48,M0.0V,58.08892851331783,-4.000445955779129,3847.70263671875,0.5996335744857788,0.6239194273948669,False,,8.067999839782715,V,M,,,,,True
G 240-38,254.68224844849624,68.89793351454058,37.1593,26.91,M1.5V,100.07233420359265,35.21944427679309,3457.0,0.47,0.4925875961780548,False,,8.74899959564209,V,M,,,,,False
HD  36435,81.91396727198,-60.415996165559996,51.3371,19.48,G5V,269.31336023764396,-33.61504669110509,5311.3388671875,0.858481228351593,0.876447856426239,False,6.190999984741211,5.703999996185303,V,G,,,,,False
L  472-66,197.3350582646546,-40.157517366728044,59.8431,16.71,M4,306.6354301854952,22.5854599197142,4250.0,0.184,0.217,False,10.210000038146973,8.793000221252441,V,M,,,,,True
L  489-58,283.41630528754916,-38.61234808521111,80.4144,12.44,M3.5V,357.6951457709077,-16.93664841958338,3094.0,0.27,0.3,False,10.100000381469727,8.395999908447266,V,M,,,,,True
PM J07574+1201,119.36314268519001,12.024197013179998,38.4987,25.97,M2.3V,209.34926843293314,20.01526677888312,3205.111572265625,0.4,0.5227949619293213,False,,9.0600004196167,V,M,,,,,True
HD  29220,68.50506812452,-43.52470443683,45.2326,22.11,K4Vk:,248.39106631979482,-42.70130296116405,4470.8994140625,0.7187105417251587,0.7409771084785461,False,7.5929999351501465,6.808000087738037,V,K,,,,,False
LP  346-21,350.99969919854044,28.567659611643606,50.3552,19.86,M4.5Ve,100.63045233888549,-30.489721226993417,3012.0126953125,0.184,0.17133641242980957,False,,10.920000076293945,V,M,,,,,True
BD+70  1157,315.01432578977,70.6686794953,37.4228,26.72,K4V,105.99242023743872,15.871437412364939,4535.7177734375,0.7301574349403381,0.6832039952278137,False,,7.242000102996826,V,K,,,,,False
LP  414-139,63.89376031971,19.599890362749996,33.9195,29.48,M4,175.10671068231065,-21.980157499521226,3068.230224609375,0.184,0.26674896478652954,False,,10.786999702453613,V,M,,,,,True
BD+81   297,141.98408010686126,80.58022568549362,43.3068,23.09,K7V,131.62003545499869,32.802761387296805,4297.0,0.64,0.63,False,,7.025000095367432,V,K,,,,,False
BD+11  2576,202.49910791431287,10.377162370159724,131.1013,7.63,M1.0V,333.23094148417067,70.9449249823256,3617.0,0.47,0.6138632297515869,False,7.013000011444092,5.9019999504089355,V,M,,,,,True
PM J15214+0414,230.35541858588,4.24702774016,36.8014,27.17,M1.5V,7.023283923421535,47.556493189751855,3762.0,0.47,0.5964729189872742,False,,8.550000190734863,V,M,,,,,True
HD  14412,34.743769923402496,-25.94568716478555,77.914,12.83,G8V,214.45451065428472,-70.41021098842954,5357.89697265625,0.94,0.7654625773429871,False,,5.056000232696533,V,G,,,,,True
V* V857 Cen,172.9438052146571,-41.04643795262861,92.9284,10.76,M3.5,287.13006817725454,19.368120951779815,3030.0,0.27,0.43185955286026,False,8.838000297546387,7.366000175476074,V,M,,,,,True
BD+07  3922,284.9108603404966,7.987254967080277,35.3311,28.3,M0.5V,40.97404794107393,1.8229732156506275,3785.94140625,0.612805962562561,0.6874818205833435,False,,7.9710001945495605,V,M,,,,,True
